Institute Code,Institute,Program,Category,Quota,Opening Rank,Closing Rank
800052,INSTITUTE OF ENGINEERING &,Civil Engineering (Shift I),OPEN,All India,41655,54564
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Computer Science and Engineering (Shift I),BC,Home State,41721,47228
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)","Electronics and Communication
Engineering (Shift I)",OPEN,All India,42007,90018
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Computer Science and Engineering (Shift I),OPEN(GIRL),Home State,42297,50477
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Computer Science and Engineering (Shift I),EWS(OPEN),Home State,42732,44628
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Electrical Engineering (Shift I),OPEN,Home State,43221,47687
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Computer Science and Engineering (Shift I),BC(Girl),Home State,43787,59913
800027,"AJAY KUMAR GARG ENGG.
COLLEGE,GHAZIABAD (0027)",Computer Science (Shift I),OPEN,All India,43798,93537
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Information Technology (Shift I),OPEN,Home State,43838,48650
800110,"INSTITUTE OF ENGG. & RURAL
TECHNOLOGY,ALLAHABAD (0110)",Computer Science and Engineering (Shift I),OPEN,All India,43908,77123
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Information Technology (Shift I),OPEN(GIRL),Home State,43981,48043
800164,"PRANVEER SINGH INSTITUTE OF
TECHNOLOGY,KANPUR (0164)","Artificial Intelligence And Machine
Learning (Shift I)",OPEN,All India,44243,726223
800802,"NITRA TECHNICAL CAMPUS,GHAZIABAD (0802)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)",OPEN,All India,44742,131890
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Information Technology (Shift I),OPEN,All India,45069,49476
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Electrical Engineering (Shift I),OPEN(GIRL),Home State,45246,46314
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Computer Science and Engineering (Shift I),EWS(OPEN),Home State,46180,47839
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)",Information Technology (Shift I)(FW),OPEN(TF),Home State,46435,50728
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Information Technology (Shift I)(FW),OPEN(TF),Home State,46761,47133
800166,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY
FOR HANDICAPPEDS,KANPUR (0166)",Computer Science and Engineering (Shift I),OPEN,All India,46974,63741
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Computer Science and Engineering (Shift I),OPEN(AF),Home State,47107,48005
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Computer Science and Engineering (Shift I),BC,Home State,47177,51979
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Mechanical Engineering (Shift I)(FW),OPEN(TF),Home State,47283,53037
800483,"INSTITUTE OF TECHNOLOGY &
MANAGEMENT,LUCKNOW (0483)",Computer Science and Engineering (Shift I),OPEN,All India,47347,159137
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)",Computer Science and Engineering (Shift I),OPEN,Home State,47614,57859
800027,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD (0027)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)",OPEN,All India,47641,82499
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Electrical Engineering (Shift I),BC,Home State,47656,52702
800027,AJAY KUMAR GARG ENGG.,Information Technology (Shift I),BC(AF),Home State,273118,329440
,"COLLEGE,GHAZIABAD (0027)",,,,,
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)",Computer Science and Engineering (Shift I),OPEN(GIRL),Home State,48037,63661
800133,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR (0133)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)",OPEN,All India,48041,413428
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Electronics Engineering (Shift I)(FW),OPEN(TF),Home State,48322,54722
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Electrical Engineering (Shift I),OPEN,All India,48341,61363
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Electrical Engineering (Shift I),EWS(OPEN),Home State,48424,50435
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Information Technology (Shift I),EWS(OPEN),Home State,48613,51176
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Chemical Engineering (Shift I),OPEN,All India,48693,59785
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Mechanical Engineering (Shift I),OPEN,Home State,49039,55039
800029,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT.
OF ENGG. & TECHNOLOGY),GHAZIABAD (0029)",Computer Science (Shift I)(FW),OPEN(TF),Home State,49046,84685
800091,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR (0091)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)",OPEN,Home State,49121,58246
800511,"G.L.BAJAJ GROUP OF INSTITUTIONS,MATHURA
(0511)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,49302,202605
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Information Technology (Shift I),OPEN,Home State,49360,51549
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)","Electronics and Communication
Engineering (Shift I)",OPEN,All India,49659,56325
800027,"AJAY KUMAR GARG ENGG.
COLLEGE,GHAZIABAD (0027)",Computer Science (Shift I),BC(AF),Home State,312736,312736
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Information Technology (Shift I),BC,Home State,49774,53605
801512,"Lucknow University, Lucknow (1512)",Computer Science and Engineering (Shift I),OPEN(GIRL),Home State,49977,120465
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Information Technology (Shift I),EWS(OPEN),Home State,50966,52635
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Mechanical Engineering (Shift I),OPEN(GIRL),Home State,51393,64775
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Electrical Engineering (Shift I),OPEN,All India,51400,71305
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Computer Science and Engineering (Shift I),OPEN(AF),Home State,52071,52071
801512,"Lucknow University, Lucknow (1512)","Computer Science & Engineering (Artificial
Intelligence) (Shift I)",OPEN,Home State,52089,129738
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Information Technology (Shift I),OPEN(GIRL),Home State,52145,53927
800508,"BABU BANARASI DAS
ENGINEERING,COLLEGE,LUCKNOW (0508)",Computer Science and Engineering (Shift I),OPEN,All India,52237,586049
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)",Information Technology (Shift I),OPEN,All India,52325,65838
800027,"AJAY KUMAR GARG ENGG.
COLLEGE,GHAZIABAD (0027)","Computer Science and Information
Technology (Shift I)",BC(AF),Home State,264854,264854
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Information Technology (Shift I),BC,Home State,52391,55092
800839,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ
(0839)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,52476,69917
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)","Electronics and Communication
Engineering (Shift I)(FW)",OPEN(TF),Home State,52506,53209
800097,"GALGOTIA'S COLLEGE OF ENGG. &
TECHNOLOGY,GAUTAM BUDDH NAGAR (0097)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,52585,65851
800133,"NOIDA INSTITUTE OF ENGG. &
TECHNOLOGY,GAUTAM BUDDH NAGAR (0133)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,52680,126651
800164,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR (0164)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)",OPEN,All India,52682,689630
800839,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ
(0839)",Computer Science and Engineering (Shift I),OPEN,All India,53148,71574
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering
(Artificial Intelligence) (Shift I)",SC,Home State,53272,91641
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Mechanical Engineering (Shift I),OPEN,All India,53926,72003
